,371,293,,,,163,784,,,,403,507,,,,668,634,,,,
,393,296,,,,169,864,,,,411,510,,,,684,639,,,,
,400,298,,,,172,889,,,,418,517,,,,,648,,,,
,402,302,,,,181,911,,,,431,528,,,,,649,,,,
,403x,313,,,,185,966,,,,436,546,,,,,658,,,,
,448,316,,,,187,,,,,448,554,,,,,663,,,,
,458,325,,,,188,,,,,458,561,,,,,664,,,,
,460,330,,,,189,,,,,460,567,,,,,681,,,,
,467,344,,,,192,,,,,468,573,,,,,,,,,
,476,361,,,,194,,,,,479,576,,,,,,,,,
,487,367,,,,195,,,,,496,594,,,,,,,,,
,491,372,,,,201,,,,,508,630,,,,,,,,,
,505,373,,,,205,,,,,529,669,,,,,,,,,
,507,374,,,,216,,,,,546,693,,,,,,,,,
,526,375,,,,218,,,,,561,713,,,,,,,,,
,533,386,,,,239,,,,,567,719,,,,,,,,,
,543,420,,,,246,,,,,573,742,,,,,,,,,
,549,431,,,,249,,,,,576,758,,,,,,,,,
,550,439,,,,271,,,,,591,772,,,,,,,,,
,553,440,,,,272,,,,,594,790,,,,,,,,,
,563,443,,,,278,,,,,608,835,,,,,,,,,
,564,449,,,,281,,,,,655,855,,,,,,,,,
,576,469,,,,292,,,,,656,863,,,,,,,,,
,578,479,,,,293,,,,,682,873,,,,,,,,,
,581,483,,,,310,,,,,685,883,,,,,,,,,
,588,495,,,,320,,,,,696,894,,,,,,,,,
,604,504,,,,325,,,,,706,906,,,,,,,,,
,605,512,,,,341,,,,,740,907,,,,,,,,,
,606,513,,,,353,,,,,751,914,,,,,,,,,
,628,515,,,,359,,,,,752,926,,,,,,,,,
,631,517,,,,381,,,,,759,934,,,,,,,,,
,647,528,,,,401,,,,,763,937,,,,,,,,,
,668,532,,,,406,,,,,764,939,,,,,,,,,
,669,534,,,,409,,,,,790,949,,,,,,,,,
,676,536,,,,431,,,,,797,951,,,,,,,,,
,683,539,,,,446,,,,,807,955,,,,,,,,,
,692,542,,,,447,,,,,812,973,973,,,,,,,,
,697,547,,,,450,,,,,814,984,,,,,,,,,
,800,554,,,,456,,,,,828,989,,,,,,,,,
,814,557,,,,457,,,,,832,995,,,,,,,,,
,817,562,,,,469,,,,,835,997,,,,,,,,,
,858,567,,,,474,,,,,840,999,,,,,,,,,
,861,569,,,,489,,,,,845,,,,,,,,,,
,863,571,,,,527,,,,,872,,,,,,,,,,
,869,572,,,,533,,,,,874,,,,,,,,,,
,878,579,,,,539,,,,,885,,,,,,,,,,
,896,584,,,,550,,,,,900,,,,,,,,,,
,935,601,,,,602,,,,,903,,,,,,,,,,
,942,616,,,,660,,,,,907,,,,,,,,,,
,958,624,,,,674,,,,,911,,,,,,,,,,
,992,641,,,,700,,,,,914,,,,,,,,,,
,998,649,,,,706,,,,,937,,,,,,,,,,
,999,653,,,,713,,,,,939,,,,,,,,,,
,,651F,,,,729,,,,,947,,,,,,,,,,
,,657,,,,738,,,,,948,,,,,,,,,,
,,664,"""=>664""",,,740,,,,,951,,,,,,,,,,
,,667,,,,777,,,,,955,,,,,,,,,,
,,674,,,,785,,,,,966,,,,,,,,,,
,,684,,,,786,,,,,977,,,,,,,,,,
,,692,,,,791,,,,,997,,,,,,,,,,
,,734,,,,797,,,,,,,,,,,,,,,
,,743,,,,837,,,,,,,,,,,,,,,
,,790,,,,845,,,,,,,,,,,,,,,
,,817,,,,848,,,,,,,,,,,,,,,
,,821,,,,853,,,,,,,,,,,,,,,
,,831,,,,867,,,,,,,,,,,,,,,
,,861,,,,873,,,,,,,,,,,,,,,
,,872,,,,884,,,,,,,,,,,,,,,
,,896,,,,928,,,,,,,,,,,,,,,
,,928,,,,929,,,,,,,,,,,,,,,
,,950,,,,984,,,,,,,,,,,,,,,
,,951,,,,987,,,,,,,,,,,,,,,
,,999,,,,990,,,,,,,,,,,,,,,
